Sioux City,Council Bluffs,94.3,84
Sioux City,Fort Dodge,118,117
Council Bluffs,Des Moines,128,116
Fort Dodge,Mason City,93.8,89
Fort Dodge,Mason City,92.4,112
Fort Dodge,Waterloo,100,97
Fort Dodge,Des Moines,96.4,89
Mason City,Waterloo,80.4,80
Des Moines,Iowa City,114,102
Des Moines,Mason City,121,108
Des Moines,Waterloo,111,116
Des Moines,Cedar Rapids,128,114
Des Moines,Cedar Rapids,121,115
Waterloo,Dubuque,91.1,88
Waterloo,Cedar Rapids,54.5,51
Cedar Rapids,Dubuque,73.5,76
Cedar Rapids,Iowa City,28.2,30
Cedar Rapids,Iowa City,28,34
Iowa City,Davenport,56.9,58
Dubuque,Davenport,71.4,72